"Environmental and clean technology employment, Canada and regions 1 2 3"
"Frequency: Occasional"
"Table: 38-10-0054-01 (formerly CANSIM 153-0303)"
"Release date: 2021-05-05"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,"Canada",,,
"Environmental and clean technology employment","2015","2017","2018","2019"
,"Number",,,
"Total clean technology employment","61,388","121,540","119,778","126,941"
"Employment - waste management industry","38,108","39,649","40,289","40,930"
"Employment - all other clean technology industries","23,280","81,891","79,489","86,011"

Symbol legend:
B, data quality: very good



Footnotes:
1,"2017 estimates contained in this table have been assigned a letter value to indicate the quality of the estimate, as measured by the coefficient of variation (expressed as a percentage). A = excellent (0.00% to 4.99%), B = very good (5.00% to 9.99%), C = good (10.00% to 14.99%), D = acceptable (15.00% to 24.99%), E = use with caution (25.00% to 49.99%). 

As of 2018, estimates contained in this table have been assigned a letter value (A to F) to indicate the quality of the estimate, as provided by the combination of the coefficient of variation and the non-response rate."
2,"2017 data were revised on May 22nd, 2020. "
3,"2018 data were revised on May 5th, 2021.

"



"How to cite: Statistics Canada. Table 38-10-0054-01  Environmental and clean technology employment, Canada and regions"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3810005401
