"Potable water volumes processed by drinking water plants, by source water type (x 1,000,000) 1 2 3 4"
"Frequency: Occasional"
"Table: 38-10-0092-01 (formerly CANSIM 153-0105)"
"Release date: 2021-08-17"
"Geography: Canada, Province or territory, Drainage region"
""
""

"Geography","Type of water source","2011","2013","2015","2017","2019"
2,"Figures may not add up to totals due to rounding."
3,"All estimates contained in this table have been assigned a letter value to indicate the quality of the estimate, as measured by the coefficient of variation (CV, expressed as a percentage). A = Excellent (0.01% to 4.99%), B = Very good (5.00% to 9.99%), C = Good (10.00% to 14.99%), D = Acceptable (15.00% to 24.99%), E = Use with caution (25.00% to 49.99%), F = Too unreliable to be published (> 49.99% data are suppressed). Any value of 0 (zero) with a letter value represents a value rounded to 0 where there is a meaningful distinction between the true zero and the value that was rounded. All other values of 0 are true zeros. The 95% confidence interval associated with an estimate (assuming a normal distribution) is given by: Estimate ± 1.96 * (CV in %) * Estimate. Beginning with the 2017 collection, since this statistical activity is a census and all non-response has been imputed, the sampling error is zero (0) which give a CV of zero (0).  To take into account that imputation has occurred, both the sampling error (which is 0 for every estimate) and the non-response rate are combined into one quality rating code for each estimate.  This code uses letters that range from A to E where A means the estimate is of excellent quality and E means it is to be used with caution.
A:  excellent data quality (CV is 0 and non-response rate is 10% or lower)
B:  very good data quality (CV is 0 and non-response rate is 10.01% to 33%)
C:  good data quality (CV is 0 and non-response rate is 33.01% to 60%)
E:  use with caution (CV is 0 and non-response rate is greater than 60%)    
"
4,"Revisions are made for the previous survey reference period, with the initial release of the current data, as required. For the most current data please refer to tables 38100009, 38100092, 38100093, 38100094, 38100103, 38100269, 38100270, 38100271, 38100272.  "
5,"Due to a low response rate, data for 2005 to 2007 excludes Nunavut."
6,"Water from sources open to the atmosphere such as rivers, lakes and reservoirs."
7,"Water found in underground aquifers which supplies wells and springs."
8,"Groundwater supply sources under conditions where microbial pathogens are able to travel from surface water to the groundwater source."



"How to cite: Statistics Canada. Table 38-10-0092-01  Potable water volumes processed by drinking water plants, by source water type (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3810009201
