Occupational category,Occupation type,Number,Total workers with a disability,Ambulatory difficulty Percent,Hearing difficulty Percent,Cognitive difficulty Percent,Vision difficulty Percent,Independent living difficulty Percent,Self-care difficulty Percent
"Surveyors, cartographers, and photogrammetrists",Detailed,-,-,-,-,-,-,-,-
Aerospace engineers,Detailed,-,-,-,-,-,-,-,-
Agricultural engineers,Detailed,-,-,-,-,-,-,-,-
Biomedical engineers,Detailed,-,-,-,-,-,-,-,-
Chemical engineers,Detailed,-,-,-,-,-,-,-,-
Civil engineers,Detailed,"11,660","11,660",23.8,48.5,18.1,16.9,6.7,4.1
Computer hardware engineers,Detailed,-,-,-,-,-,-,-,-
Electrical and electronics engineers,Detailed,"6,800","6,800",28.6,60.0,19.0,17.5,9.8,7.5
Environmental engineers,Detailed,-,-,-,-,-,-,-,-
"Industrial engineers, including health and safety",Detailed,"8,730","8,730",27.6,42.9,18.3,13.7,6.3,6.1
Marine engineers and naval architects,Detailed,-,-,-,-,-,-,-,-
Materials engineers,Detailed,-,-,-,-,-,-,-,-
Mechanical engineers,Detailed,"10,595","10,595",25.7,46.6,19.2,20.5,12.2,7.4
"Mining and geological engineers, including mining safety engineers",Detailed,-,-,-,-,-,-,-,-
Nuclear engineers,Detailed,-,-,-,-,-,-,-,-
Petroleum engineers,Detailed,-,-,-,-,-,-,-,-
"Engineers, all other",Detailed,"20,405","20,405",28.8,47.4,21.5,23.6,7.3,5.2
Drafters,Detailed,"11,495","11,495",32.5,36.4,28.4,25.7,10.9,3.0
"Engineering technicians, except drafters",Detailed,"24,610","24,610",37.6,35.2,25.1,17.6,8.5,5.7
Surveying and mapping technicians,Detailed,-,-,-,-,-,-,-,-
Agricultural and food scientists,Detailed,-,-,-,-,-,-,-,-
Biological scientists,Detailed,-,-,-,-,-,-,-,-
Conservation scientists and foresters,Detailed,-,-,-,-,-,-,-,-
Medical scientists,Detailed,-,-,-,-,-,-,-,-
"Life scientists, all other",Detailed,-,-,-,-,-,-,-,-
Astronomers and physicists,Detailed,-,-,-,-,-,-,-,-
Atmospheric and space scientists,Detailed,-,-,-,-,-,-,-,-
Chemists and materials scientists,Detailed,-,-,-,-,-,-,-,-
Environmental scientists and geoscientists,Detailed,-,-,-,-,-,-,-,-
"Physical scientists, all other",Detailed,"6,125","6,125",26.1,34.3,31.4,14.7,7.0,14.7
Economists,Detailed,-,-,-,-,-,-,-,-
Survey researchers,Detailed,-,-,-,-,-,-,-,-
Psychologists,Detailed,"11,355","11,355",38.8,43.0,10.8,14.9,20.4,9.9
Urban and regional planners,Detailed,-,-,-,-,-,-,-,-
"Miscellaneous social scientists and related workers, including sociologists",Detailed,-,-,-,-,-,-,-,-
Agricultural and food science technicians,Detailed,-,-,-,-,-,-,-,-
Biological technicians,Detailed,-,-,-,-,-,-,-,-
Chemical technicians,Detailed,-,-,-,-,-,-,-,-
Geological and petroleum technicians,Detailed,-,-,-,-,-,-,-,-
Nuclear technicians,Detailed,-,-,-,-,-,-,-,-
Social science research assistants,Detailed,-,-,-,-,-,-,-,-
